status,alias,product,component,version,hardware,importance,assignee
NEW,None,Platform,UI,3.2,PC All,P3 enhancement ,Platform UI Triaged
NEW,None,Mylyn,Tasks,unspecified,PC All,P4 enhancement ,Project Inbox
NEW,None,Platform,UI,3.2,PC Windows XP,P3 normal with 1 vote ,Platform UI Triaged
ASSIGNED,None,Platform,Text,3.2,All All,P5 enhancement with 19 votes ,Platform-Text-Inbox
ASSIGNED,None,Platform,CVS,3.2,PC Windows XP,P3 minor ,platform-cvs-inbox
NEW,None,JDT,Core,3.2,PC Windows XP,P3 normal with 2 votes ,JDT-Core-Inbox
ASSIGNED,None,Platform,CVS,3.2,PC Windows XP,P5 normal with 1 vote ,platform-cvs-inbox
NEW,None,Platform,User,3.2,PC Windows XP,P3 normal ,platform-ua-inbox
NEW,None,CDT,cdt-debug,3.1,PC Linux-GTK,P3 normal ,cdt-debug-inbox@eclipse.org
ASSIGNED,None,Platform,UI,3.2,All All,P5 enhancement with 4 votes ,Platform UI Triaged
NEW,None,GMF-Tooling,Core,2.0,PC Windows XP,P3 enhancement with 1 vote ,gmf.generation-inbox
NEW,None,JDT,Core,3.2,PC Windows XP,P3 enhancement ,JDT-Core-Inbox
NEW,None,AspectJ,LTWeaving,DEVELOPMENT,PC Windows XP,P3 enhancement ,aspectj inbox
NEW,None,JDT,Core,3.2,PC Windows XP,P3 normal ,David Audel
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 normal ,Steve Northover
NEW,None,GMF-Runtime,General,1.0.1,PC Windows 2000,P3 normal,Anthony Hunter
NEW,None,Platform,UI,3.2,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 enhancement,GMF Inbox
NEW,None,WTP Source Editing,wst.sse,1.5,All All,P2 normal with 2 votes ,wst.sse
NEW,None,Platform,UI,3.2,All All,P3 enhancement with 1 vote ,Platform UI Triaged
ASSIGNED,None,JDT,UI,3.2,PC Windows XP,P3 major ,JDT-UI-Inbox
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 normal ,Steve Northover
NEW,None,JDT,Core,3.2,All All,P3 normal with 1 vote ,JDT-Core-Inbox
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 normal ,Platform-SWT-Inbox
ASSIGNED,None,Platform,UI,3.2,Macintosh Mac OS X - Carbon (unsup.),P3 normal ,Platform UI Triaged
ASSIGNED,None,Platform,UI,3.2,Macintosh Mac OS X - Carbon (unsup.),P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.2,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,CDT,cdt-core,3.1,All All,P3 normal with 5 votes ,Project Inbox
NEW,None,Platform,UI,3.2,PC Windows 2000,P3 normal ,Platform UI Triaged
NEW,None,Platform,IDE,3.2,PC Windows 2000,P5 normal ,Platform UI Triaged
NEW,None,Platform,SWT,3.1.2,PC Windows XP,P3 major ,Silenio Quarti
ASSIGNED,None,JDT,Text,3.2,PC Windows XP,P3 enhancement with 1 vote ,JDT-Text-Inbox
NEW,None,Mylyn,Tasks,unspecified,PC Windows XP,P4 enhancement with 24 votes ,Project Inbox
ASSIGNED,None,Platform,UI,3.2,PC Linux,P3 normal ,Platform UI Triaged
NEW,None,Mylyn,Tasks,unspecified,PC All,P4 enhancement ,Project Inbox
NEW,None,Platform,Releng,3.2,PC All,P3 normal ,Platform-Releng-Inbox
ASSIGNED,None,Platform,Text,3.2,PC Windows XP,P3 normal ,Platform-Text-Inbox
NEW,None,GMF-Tooling,Core,2.0,PC Windows 2000,P3 enhancement ,Project Inbox
NEW,None,Platform,User,3.1.1,PC Windows XP,P3 normal ,platform-ua-inbox
ASSIGNED,None,Platform,UI,3.2,Macintosh Mac OS X - Carbon (unsup.),P5 normal ,Platform UI Triaged
NEW,None,AspectJ,Compiler,DEVELOPMENT,PC Windows XP,P3 enhancement ,aspectj inbox
ASSIGNED,None,Platform,Team,3.1.2,PC Windows XP,P5 enhancement ,Platform Team Inbox
ASSIGNED,None,Platform,UI,3.2,PC All,P3 normal ,Platform UI Triaged
NEW,None,CDT,cdt-debug,3.1,PC Windows XP,P3 normal with 11 votes ,cdt-debug-inbox@eclipse.org
NEW,None,GMF-Runtime,General,2.0,PC Windows XP,P3 enhancement,Anthony Hunter
NEW,None,Mylyn,Java,unspecified,PC All,P2 minor ,Project Inbox
NEW,None,Mylyn,UI,unspecified,PC All,P4 enhancement with 1 vote ,Project Inbox
NEW,None,Platform,UI,3.2,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,WTP Source Editing,wst.xsd,1.5,PC Windows XP,P3 normal ,wst.xsd-triaged
NEW,None,CDT,cdt-debug,3.1,Other Linux,P3 normal ,cdt-debug-inbox@eclipse.org
NEW,None,Platform,UI,3.2,PC Windows XP,P5 enhancement ,Platform UI Triaged
ASSIGNED,None,Platform,CVS,3.2,PC Windows XP,P5 normal ,platform-cvs-inbox
ASSIGNED,None,JDT,UI,4.8,PC Linux,P3 normal ,JDT-UI-Inbox
ASSIGNED,None,JDT,UI,4.8,All All,P3 enhancement with 2 votes ,JDT-UI-Inbox
NEW,None,Platform,UI,3.2,PC Windows 2000,P3 normal ,Platform UI Triaged
ASSIGNED,None,Platform,CVS,3.2,PC Windows 2000,P5 enhancement ,platform-cvs-inbox
NEW,None,WTP Source Editing,wst.xsd,1.5,PC Windows XP,P3 normal ,wst.xsd-triaged
ASSIGNED,None,Platform,Resources,3.3,All All,P3 enhancement with 29 votes ,Platform-Resources-Inbox
NEW,None,WTP Source Editing,wst.xml,1.5,PC Windows XP,P3 enhancement ,wst.xml-triaged
ASSIGNED,None,GMF-Tooling,Core,1.0,PC Windows XP,P3 normal ,Dmitry Stadnik
NEW,None,JDT,Core,3.2,PC Windows XP,P3 enhancement with 1 vote ,JDT-Core-Inbox
NEW,None,CDT,cdt-core,3.1,PC Linux,P3 major with 1 vote ,Project Inbox
NEW,None,CDT,cdt-debug,3.1,PC All,P3 normal ,cdt-debug-inbox@eclipse.org
NEW,None,Mylyn,Tasks,unspecified,All All,P4 enhancement with 4 votes ,Project Inbox
NEW,None,GMF-Tooling,Core,2.0,PC Windows XP,P3 normal with 1 vote ,Project Inbox
NEW,None,JDT,Core,3.2,PC Windows XP,P3 normal ,JDT-Core-Inbox
ASSIGNED,None,Platform,CVS,3.2,PC Windows XP,P5 enhancement ,platform-cvs-inbox
ASSIGNED,None,Platform,UI,3.2,PC Windows XP,P3 normal ,Platform UI Triaged
NEW,None,Platform,UI,3.2,PC All,P5 enhancement ,Platform UI Triaged
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 enhancement with 1 vote ,Steve Northover
NEW,None,Equinox,Framework,3.2,PC Windows XP,P3 enhancement ,equinox.framework-inbox
NEW,None,GMF-Tooling,Core,2.0,All All,P3 normal ,Dmitry Stadnik
NEW,None,Platform,Releng,3.2,PC Windows XP,P3 enhancement ,Platform-Releng-Inbox
NEW,None,Platform,User,3.2,All All,P3 enhancement ,platform-ua-inbox
NEW,None,Mylyn,Tasks,unspecified,PC All,P3 enhancement ,Project Inbox
NEW,None,Platform,User,3.1.1,PC Windows XP,P3 normal with 1 vote ,platform-ua-inbox
NEW,None,Platform,IDE,3.2,PC Linux,P3 normal ,Platform UI Triaged
ASSIGNED,None,Platform,Text,3.2,All All,P5 enhancement ,Platform-Text-Inbox
NEW,None,CDT,cdt-debug,3.1,PC Windows 2000,P3 normal ,cdt-debug-inbox@eclipse.org
ASSIGNED,None,Platform,CVS,3.2,PC Windows XP,P5 normal ,platform-cvs-inbox
ASSIGNED,None,GMF-Runtime,General,1.0,PC Windows XP,P3 normal,Cherie Revells
NEW,None,WTP Source Editing,wst.xsd,1.5,PC Windows 2000,P3 enhancement with 11 votes ,wst.xsd-triaged
ASSIGNED,None,Platform,UI,3.2,PC Windows XP,P5 normal ,Platform UI Triaged
NEW,None,Platform,SWT,3.2,PC All,P3 normal ,Carolyn MacLeod
NEW,None,Platform,SWT,3.2,PC All,P3 normal ,Carolyn MacLeod
NEW,None,WTP Webservices,wst.ws,1.5,PC Windows 2000,P3 normal ,Project Inbox
NEW,None,JDT,Core,3.2,PC Windows 2000,P3 normal ,David Audel
NEW,None,JDT,UI,3.2,PC Windows 2000,P3 normal ,JDT-UI-Inbox
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 enhancement ,Steve Northover
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 normal,Anthony Hunter
NEW,None,Platform,SWT,3.2,PC Windows XP,P3 enhancement ,Steve Northover
NEW,None,GMF-Runtime,General,unspecified,PC Windows XP,P3 normal,Anthony Hunter
NEW,None,Platform,SWT,3.2,PC Windows 2000,P3 major ,Steve Northover
ASSIGNED,None,JDT,Text,3.2,PC Windows XP,P3 minor ,JDT-Text-Inbox
ASSIGNED,None,Platform,UI,3.2,PC Linux,P5 enhancement ,Platform UI Triaged
